,date,time,open,high,low,close,jdiff_vol,value,jongchk,rate,sign
281,20240102,114300,10150,10150,10130,10130,3712,38,0,0,5
282,20240102,114400,10140,10140,10130,10140,643,7,0,0,5
283,20240102,114500,10140,10140,10130,10130,2311,23,0,0,5
284,20240102,114600,10140,10140,10130,10130,607,6,0,0,5
285,20240102,114700,10140,10140,10130,10140,1123,11,0,0,5
286,20240102,114800,10140,10140,10130,10130,1055,11,0,0,5
287,20240102,114900,10130,10150,10130,10140,2846,29,0,0,5
288,20240102,115000,10140,10140,10130,10140,728,7,0,0,5
289,20240102,115100,10140,10140,10130,10130,1864,19,0,0,5
290,20240102,115200,10140,10140,10130,10130,2468,25,0,0,5
291,20240102,115300,10140,10140,10130,10140,1613,16,0,0,5
292,20240102,115400,10140,10140,10130,10130,790,8,0,0,5
293,20240102,115500,10140,10140,10130,10130,994,10,0,0,5
294,20240102,115600,10130,10140,10130,10130,724,7,0,0,5
295,20240102,115700,10130,10140,10130,10130,571,6,0,0,5
296,20240102,115800,10140,10140,10120,10120,6992,71,0,0,5
297,20240102,115900,10130,10130,10120,10120,482,5,0,0,5
298,20240102,120000,10120,10130,10120,10120,625,6,0,0,5
299,20240102,120100,10120,10130,10110,10120,17595,178,0,0,5
300,20240102,120200,10110,10120,10110,10120,742,8,0,0,5
301,20240102,120300,10120,10130,10110,10120,5351,54,0,0,5
302,20240102,120400,10120,10130,10120,10120,1156,12,0,0,5
303,20240102,120500,10120,10130,10110,10110,367,4,0,0,5
304,20240102,120600,10120,10120,10110,10120,1081,11,0,0,5
305,20240102,120700,10120,10120,10110,10110,5741,58,0,0,5
306,20240102,120800,10110,10120,10110,10110,5747,58,0,0,5
307,20240102,120900,10100,10120,10100,10100,1025,10,0,0,5
308,20240102,121000,10110,10110,10100,10110,946,10,0,0,5
309,20240102,121100,10120,10120,10110,10110,1379,14,0,0,5
310,20240102,121200,10110,10130,10110,10120,597,6,0,0,5
311,20240102,121300,10120,10120,10100,10110,6332,64,0,0,5
312,20240102,121400,10110,10110,10100,10110,1390,14,0,0,5
313,20240102,121500,10120,10120,10100,10100,744,8,0,0,5
314,20240102,121600,10100,10120,10100,10120,1787,18,0,0,5
315,20240102,121700,10110,10120,10110,10110,481,5,0,0,5
316,20240102,121800,10110,10120,10110,10110,299,3,0,0,5
317,20240102,121900,10110,10130,10110,10110,2611,26,0,0,5
318,20240102,122000,10110,10120,10100,10110,1333,13,0,0,5
319,20240102,122100,10110,10120,10100,10100,1104,11,0,0,5
320,20240102,122200,10110,10110,10100,10110,3753,38,0,0,5
321,20240102,122300,10110,10120,10100,10100,1649,17,0,0,5
322,20240102,122400,10110,10110,10100,10100,1495,15,0,0,5
323,20240102,122500,10100,10110,10100,10100,15271,154,0,0,5
324,20240102,122600,10100,10110,10090,10110,1280,13,0,0,5
325,20240102,122700,10110,10120,10100,10100,1725,17,0,0,5
326,20240102,122800,10110,10110,10100,10100,723,7,0,0,5
327,20240102,122900,10100,10110,10100,10100,729,7,0,0,5
328,20240102,123000,10110,10110,10100,10110,2603,26,0,0,5
329,20240102,123100,10110,10120,10100,10110,2254,23,0,0,5
330,20240102,123200,10100,10110,10100,10100,837,8,0,0,5
331,20240102,123300,10110,10110,10100,10100,683,7,0,0,5
332,20240102,123400,10100,10110,10100,10110,565,6,0,0,5
333,20240102,123500,10100,10110,10100,10110,452,5,0,0,5
334,20240102,123600,10110,10110,10100,10100,584,6,0,0,5
335,20240102,123700,10110,10110,10100,10100,844,9,0,0,5
336,20240102,123800,10110,10110,10100,10100,710,7,0,0,5
337,20240102,123900,10100,10110,10100,10100,672,7,0,0,5
338,20240102,124000,10100,10120,10100,10100,1326,13,0,0,5
339,20240102,124100,10100,10120,10100,10100,767,8,0,0,5
340,20240102,124200,10110,10110,10100,10100,322,3,0,0,5
341,20240102,124300,10100,10110,10100,10100,758,8,0,0,5
342,20240102,124400,10110,10110,10100,10110,255,3,0,0,5
343,20240102,124500,10100,10110,10100,10100,411,4,0,0,5
344,20240102,124600,10100,10110,10100,10100,502,5,0,0,5
345,20240102,124700,10110,10120,10110,10110,2678,27,0,0,5
346,20240102,124800,10120,10130,10110,10110,1896,19,0,0,5
347,20240102,124900,10110,10130,10110,10110,8290,84,0,0,5
348,20240102,125000,10100,10110,10100,10100,135,1,0,0,5
349,20240102,125100,10100,10110,10100,10100,3272,33,0,0,5
350,20240102,125200,10100,10110,10100,10110,1490,15,0,0,5
351,20240102,125300,10110,10110,10100,10100,6303,64,0,0,5
352,20240102,125400,10110,10110,10100,10100,405,4,0,0,5
353,20240102,125500,10100,10110,10100,10100,9370,95,0,0,5
354,20240102,125600,10100,10110,10100,10100,460,5,0,0,5
355,20240102,125700,10100,10110,10100,10100,58,1,0,0,5
356,20240102,125800,10110,10110,10100,10100,6639,67,0,0,5
357,20240102,125900,10100,10110,10090,10090,535,5,0,0,5
358,20240102,130000,10110,10110,10090,10090,717,7,0,0,5
359,20240102,130100,10100,10110,10090,10090,511,5,0,0,5
360,20240102,130200,10100,10100,10090,10100,572,6,0,0,5
361,20240102,130300,10090,10100,10090,10090,1860,19,0,0,5
362,20240102,130400,10090,10110,10090,10100,796,8,0,0,5
363,20240102,130500,10110,10110,10090,10100,737,7,0,0,5
364,20240102,130600,10110,10110,10090,10100,541,5,0,0,5
365,20240102,130700,10110,10110,10090,10100,641,6,0,0,5
366,20240102,130800,10100,10110,10090,10100,769,8,0,0,5
367,20240102,130900,10110,10110,10100,10100,158,2,0,0,5
368,20240102,131000,10100,10110,10100,10110,1494,15,0,0,5
369,20240102,131100,10100,10110,10100,10100,513,5,0,0,5
370,20240102,131200,10110,10110,10100,10100,435,4,0,0,5
371,20240102,131300,10100,10110,10100,10100,815,8,0,0,5
372,20240102,131400,10100,10110,10100,10100,570,6,0,0,5
373,20240102,131500,10100,10110,10100,10100,360,4,0,0,5
374,20240102,131600,10100,10110,10100,10110,356,4,0,0,5
375,20240102,131700,10110,10110,10100,10100,780,8,0,0,5
376,20240102,131800,10100,10110,10100,10100,867,9,0,0,5
377,20240102,131900,10110,10110,10100,10100,930,9,0,0,5
378,20240102,132000,10100,10110,10100,10100,574,6,0,0,5
379,20240102,132100,10110,10110,10100,10110,1883,19,0,0,5
380,20240102,132200,10110,10120,10100,10110,1345,14,0,0,5
381,20240102,132300,10100,10120,10100,10110,971,10,0,0,5
382,20240102,132400,10120,10120,10100,10100,1178,12,0,0,5
383,20240102,132500,10100,10110,10100,10110,858,9,0,0,5
384,20240102,132600,10100,10110,10100,10100,543,5,0,0,5
385,20240102,132700,10100,10110,10100,10100,959,10,0,0,5
386,20240102,132800,10110,10120,10100,10110,1954,20,0,0,5
387,20240102,132900,10100,10110,10100,10100,677,7,0,0,5
388,20240102,133000,10110,10120,10100,10110,2563,26,0,0,5
389,20240102,133100,10110,10130,10110,10110,750,8,0,0,5
